date,super,premium,gasoil,euro
2019-01-01,36.99,42.89,34.59,40.49
2018-12-01,37.21,43.35,34.84,40.86
2018-11-01,37.59,44.01,33.76,39.67
2018-10-01,36.76,43.47,32.54,38.51
2018-09-01,33.23,40.02,28.89,34.79
2018-08-01,29.60,35.65,25.94,31.19
2018-07-01,27.83,33.2,24.2,29.01
2018-06-01,26.50,30.74,23.05,26.86
2018-05-01,25.41,29.98,22.7,26.97
2018-04-01,25.41,29.98,22.7,26.97
2018-03-01,24.39,28.29,21.52,25.07
2018-02-01,24.39,28.29,21.52,25.07
2018-01-01,23.57,27.33,20.79,24.22
2017-12-01,22.66,26.15,19.99,23.18
2017-11-01,21.38,24.61,18.88,21.87
2017-10-01,21.71,24.99,18.88,21.87
2017-09-01,19.74,22.33,17.32,19.91
2017-08-01,19.74,22.33,17.32,19.91
2017-07-01,19.74,22.33,17.32,19.91
2017-06-01,19.74,22.33,17.32,19.91
2017-05-01,18.43,20.83,16.34,18.78
2017-04-01,18.43,20.83,16.34,18.78
2017-03-01,18.45,20.85,16.78,19.28
2017-02-01,18.45,20.85,16.78,19.28
2017-01-01,18.45,20.85,16.78,19.28
2016-12-01,17.08,19.3,15.53,17.8
2016-11-01,17.08,19.3,15.53,17.8
2016-10-01,17.08,19.3,15.53,17.8
2016-09-01,17.08,19.3,15.53,17.8
2016-08-01,17.08,19.3,15.53,17.8
2016-07-01,17.08,19.3,15.53,17.8
2016-06-01,17.08,19.3,15.53,17.8
2016-05-01,17.08,19.3,15.53,17.8
2016-04-01,15.53,17.55,14.12,16.19
2016-03-01,14.64,16.53,13.32,15.28
2016-02-01,13.80,15.54,12.54,14.36
2016-01-01,13.80,15.54,12.54,14.36
2015-12-01,13.01,14.65,11.81,13.54
2015-11-01,13.01,14.65,11.81,13.54
2015-10-01,12.45,14.02,11.31,12.95
2015-09-01,12.45,14.02,11.31,12.95
2015-08-01,12.45,14.02,11.31,12.95
2015-07-01,12.15,13.68,11.04,12.64
2015-06-01,11.97,13.48,10.89,12.46
2015-05-01,11.80,13.29,10.73,12.28
2015-04-01,11.61,13.08,10.56,12.09
2015-03-01,11.50,12.96,10.46,11.98
2015-02-01,11.39,12.84,10.36,11.87
2015-01-01,11.31,12.74,10.27,11.78
2014-12-01,11.91,13.41,10.82,12.4
2014-11-01,11.91,13.41,10.82,12.4
2014-10-01,11.91,13.41,10.82,12.4
2014-09-01,11.91,13.41,10.82,12.4
2014-08-01,11.45,12.89,10.4,11.98
2014-07-01,11.45,12.89,10.4,11.98
2014-06-01,11.01,12.39,9.98,11.54
