"Y","M","oil.type","price"
2019,1,"super",36.99
2018,12,"super",37.21
2018,11,"super",37.59
2018,10,"super",36.76
2018,9,"super",33.23
2018,8,"super",29.6
2018,7,"super",27.83
2018,6,"super",26.5
2018,5,"super",25.41
2018,4,"super",25.41
2018,3,"super",24.39
2018,2,"super",24.39
2018,1,"super",23.57
2017,12,"super",22.66
2017,11,"super",21.38
2017,10,"super",21.71
2017,9,"super",19.74
2017,8,"super",19.74
2017,7,"super",19.74
2017,6,"super",19.74
2017,5,"super",18.43
2017,4,"super",18.43
2017,3,"super",18.45
2017,2,"super",18.45
2017,1,"super",18.45
2016,12,"super",17.08
2016,11,"super",17.08
2016,10,"super",17.08
2016,9,"super",17.08
2016,8,"super",17.08
2016,7,"super",17.08
2016,6,"super",17.08
2016,5,"super",17.08
2016,4,"super",15.53
2016,3,"super",14.64
2016,2,"super",13.8
2016,1,"super",13.8
2015,12,"super",13.01
2015,11,"super",13.01
2015,10,"super",12.45
2015,9,"super",12.45
2015,8,"super",12.45
2015,7,"super",12.15
2015,6,"super",11.97
2015,5,"super",11.8
2015,4,"super",11.61
2015,3,"super",11.5
2015,2,"super",11.39
2015,1,"super",11.31
2014,12,"super",11.91
2014,11,"super",11.91
2014,10,"super",11.91
2014,9,"super",11.91
2014,8,"super",11.45
2014,7,"super",11.45
2014,6,"super",11.01
2014,5,"super",11.01
2014,4,"super",10.61
2014,3,"super",10.07
2014,2,"super",9.49
2014,1,"super",8.91
2013,12,"super",8.34
2013,11,"super",8.34
2013,10,"super",7.33
2013,9,"super",7.33
2013,8,"super",7.33
2013,7,"super",7.33
2013,6,"super",7.13
2013,5,"super",6.93
2013,4,"super",6.93
2013,3,"super",6.35
2013,2,"super",6.35
2013,1,"super",6.35
2012,12,"super",6.25
2012,11,"super",5.98
2012,10,"super",5.98
2012,9,"super",5.88
2012,8,"super",5.88
2012,7,"super",5.88
2012,6,"super",5.49
2012,5,"super",5.49
2012,4,"super",5.49
2012,3,"super",4.83
2012,2,"super",4.83
2012,1,"super",4.83
2011,12,"super",4.83
2011,11,"super",4.83
2011,10,"super",4.83
2011,9,"super",4.83
2011,8,"super",4.83
2011,7,"super",4.52
2011,6,"super",4.32
2011,5,"super",4.32
2011,4,"super",4.11
2011,3,"super",3.93
2011,2,"super",3.93
2011,1,"super",3.93
2010,12,"super",3.92
2010,11,"super",3.75
2010,10,"super",3.75
2010,9,"super",3.75
2010,8,"super",3.75
2010,7,"super",3.75
2010,6,"super",3.75
2010,5,"super",3.5
2010,4,"super",3.5
2010,3,"super",3.25
2010,2,"super",3.13
2010,1,"super",3.13
2009,12,"super",3.11
2009,11,"super",3.11
2009,10,"super",3.11
2009,9,"super",3.01
2009,8,"super",2.96
2009,7,"super",2.96
2009,6,"super",2.96
2009,5,"super",2.87
2009,4,"super",2.87
2009,3,"super",2.8
2009,2,"super",2.65
2009,1,"super",2.65
2008,12,"super",2.65
2008,11,"super",2.65
2008,10,"super",2.65
2008,9,"super",2.58
2008,8,"super",2.58
2008,7,"super",2.36
2008,6,"super",2.36
2008,5,"super",2.35
2008,4,"super",2.1
2008,3,"super",1.95
2008,2,"super",1.95
2008,1,"super",1.95
2019,1,"premium",42.89
2018,12,"premium",43.35
2018,11,"premium",44.01
2018,10,"premium",43.47
2018,9,"premium",40.02
2018,8,"premium",35.65
2018,7,"premium",33.2
2018,6,"premium",30.74
2018,5,"premium",29.98
2018,4,"premium",29.98
2018,3,"premium",28.29
2018,2,"premium",28.29
2018,1,"premium",27.33
2017,12,"premium",26.15
2017,11,"premium",24.61
2017,10,"premium",24.99
2017,9,"premium",22.33
2017,8,"premium",22.33
2017,7,"premium",22.33
2017,6,"premium",22.33
2017,5,"premium",20.83
2017,4,"premium",20.83
2017,3,"premium",20.85
2017,2,"premium",20.85
2017,1,"premium",20.85
2016,12,"premium",19.3
2016,11,"premium",19.3
2016,10,"premium",19.3
2016,9,"premium",19.3
2016,8,"premium",19.3
2016,7,"premium",19.3
2016,6,"premium",19.3
2016,5,"premium",19.3
2016,4,"premium",17.55
2016,3,"premium",16.53
2016,2,"premium",15.54
2016,1,"premium",15.54
2015,12,"premium",14.65
2015,11,"premium",14.65
2015,10,"premium",14.02
2015,9,"premium",14.02
2015,8,"premium",14.02
2015,7,"premium",13.68
2015,6,"premium",13.48
2015,5,"premium",13.29
2015,4,"premium",13.08
2015,3,"premium",12.96
2015,2,"premium",12.84
2015,1,"premium",12.74
2014,12,"premium",13.41
2014,11,"premium",13.41
2014,10,"premium",13.41
2014,9,"premium",13.41
2014,8,"premium",12.89
2014,7,"premium",12.89
2014,6,"premium",12.39
2014,5,"premium",12.39
2014,4,"premium",11.94
2014,3,"premium",11.33
2014,2,"premium",10.68
2014,1,"premium",9.99
2013,12,"premium",9.29
2013,11,"premium",9.29
2013,10,"premium",8.1
2013,9,"premium",8.1
2013,8,"premium",8.1
2013,7,"premium",8.1
2013,6,"premium",7.879
2013,5,"premium",7.679
2013,4,"premium",7.679
2013,3,"premium",6.989
2013,2,"premium",6.989
2013,1,"premium",6.989
2012,12,"premium",6.836
2012,11,"premium",6.54
2012,10,"premium",6.54
2012,9,"premium",6.489
2012,8,"premium",6.489
2012,7,"premium",6.489
2012,6,"premium",6.399
2012,5,"premium",6.399
2012,4,"premium",6.399
2012,3,"premium",6.049
2012,2,"premium",6.049
2012,1,"premium",6.049
2011,12,"premium",6.049
2011,11,"premium",6.048
2011,10,"premium",6.048
2011,9,"premium",6.048
2011,8,"premium",6.048
2011,7,"premium",5.669
2011,6,"premium",5.348
2011,5,"premium",5.347
2011,4,"premium",5.049
2011,3,"premium",4.769
2011,2,"premium",4.769
2011,1,"premium",4.758
2010,12,"premium",4.758
2010,11,"premium",4.529
2010,10,"premium",4.529
2010,9,"premium",4.529
2010,8,"premium",4.529
2010,7,"premium",4.529
2010,6,"premium",4.529
2010,5,"premium",4.309
2010,4,"premium",4.309
2010,3,"premium",4.012
2010,2,"premium",3.799
2010,1,"premium",3.519
2009,12,"premium",3.519
2009,11,"premium",3.519
2009,10,"premium",3.449
2009,9,"premium",3.249
2009,8,"premium",3.249
2009,7,"premium",3.249
2009,6,"premium",3.339
2009,5,"premium",3.249
2009,4,"premium",3.249
2009,3,"premium",3.249
2009,2,"premium",3.2
2009,1,"premium",3.2
2008,12,"premium",3.2
2008,11,"premium",3.2
2008,10,"premium",3.2
2008,9,"premium",3.021
2008,8,"premium",3.021
2008,7,"premium",2.867
2008,6,"premium",2.867
2008,5,"premium",2.867
2008,4,"premium",2.529
2008,3,"premium",2.199
2008,2,"premium",2.198
2008,1,"premium",2.198
2019,1,"gasoil",34.59
2018,12,"gasoil",34.84
2018,11,"gasoil",33.76
2018,10,"gasoil",32.54
2018,9,"gasoil",28.89
2018,8,"gasoil",25.94
2018,7,"gasoil",24.2
2018,6,"gasoil",23.05
2018,5,"gasoil",22.7
2018,4,"gasoil",22.7
2018,3,"gasoil",21.52
2018,2,"gasoil",21.52
2018,1,"gasoil",20.79
2017,12,"gasoil",19.99
2017,11,"gasoil",18.88
2017,10,"gasoil",18.88
2017,9,"gasoil",17.32
2017,8,"gasoil",17.32
2017,7,"gasoil",17.32
2017,6,"gasoil",17.32
2017,5,"gasoil",16.34
2017,4,"gasoil",16.34
2017,3,"gasoil",16.78
2017,2,"gasoil",16.78
2017,1,"gasoil",16.78
2016,12,"gasoil",15.53
2016,11,"gasoil",15.53
2016,10,"gasoil",15.53
2016,9,"gasoil",15.53
2016,8,"gasoil",15.53
2016,7,"gasoil",15.53
2016,6,"gasoil",15.53
2016,5,"gasoil",15.53
2016,4,"gasoil",14.12
2016,3,"gasoil",13.32
2016,2,"gasoil",12.54
2016,1,"gasoil",12.54
2015,12,"gasoil",11.81
2015,11,"gasoil",11.81
2015,10,"gasoil",11.31
2015,9,"gasoil",11.31
2015,8,"gasoil",11.31
2015,7,"gasoil",11.04
2015,6,"gasoil",10.89
2015,5,"gasoil",10.73
2015,4,"gasoil",10.56
2015,3,"gasoil",10.46
2015,2,"gasoil",10.36
2015,1,"gasoil",10.27
2014,12,"gasoil",10.82
2014,11,"gasoil",10.82
2014,10,"gasoil",10.82
2014,9,"gasoil",10.82
2014,8,"gasoil",10.4
2014,7,"gasoil",10.4
2014,6,"gasoil",9.98
2014,5,"gasoil",9.98
2014,4,"gasoil",9.62
2014,3,"gasoil",9.12
2014,2,"gasoil",8.6
2014,1,"gasoil",8.12
2013,12,"gasoil",7.62
2013,11,"gasoil",7.62
2013,10,"gasoil",6.689
2013,9,"gasoil",6.689
2013,8,"gasoil",6.689
2013,7,"gasoil",6.689
2013,6,"gasoil",6.539
2013,5,"gasoil",6.349
2013,4,"gasoil",6.349
2013,3,"gasoil",5.849
2013,2,"gasoil",5.849
2013,1,"gasoil",5.849
2012,12,"gasoil",5.714
2012,11,"gasoil",5.49
2012,10,"gasoil",5.49
2012,9,"gasoil",5.489
2012,8,"gasoil",5.489
2012,7,"gasoil",5.489
2012,6,"gasoil",5.399
2012,5,"gasoil",5.399
2012,4,"gasoil",5.399
2012,3,"gasoil",5.049
2012,2,"gasoil",5.049
2012,1,"gasoil",5.049
2011,12,"gasoil",4.069
2011,11,"gasoil",4.069
2011,10,"gasoil",4.069
2011,9,"gasoil",4.069
2011,8,"gasoil",4.069
2011,7,"gasoil",3.805
2011,6,"gasoil",3.583
2011,5,"gasoil",3.584
2011,4,"gasoil",3.439
2011,3,"gasoil",3.339
2011,2,"gasoil",3.339
2011,1,"gasoil",3.339
2010,12,"gasoil",3.339
2010,11,"gasoil",3.339
2010,10,"gasoil",3.229
2010,9,"gasoil",3.229
2010,8,"gasoil",3.229
2010,7,"gasoil",3.229
2010,6,"gasoil",3.229
2010,5,"gasoil",3.019
2010,4,"gasoil",3.019
2010,3,"gasoil",2.828
2010,2,"gasoil",2.708
2010,1,"gasoil",2.708
2009,12,"gasoil",2.658
2009,11,"gasoil",2.36
2009,10,"gasoil",2.36
2009,9,"gasoil",2.36
2009,8,"gasoil",2.206
2009,7,"gasoil",2.206
2009,6,"gasoil",2.206
2009,5,"gasoil",2.06
2009,4,"gasoil",2.06
2009,3,"gasoil",2.06
2009,2,"gasoil",1.948
2009,1,"gasoil",1.948
2008,12,"gasoil",1.926
2008,11,"gasoil",1.926
2008,10,"gasoil",1.926
2008,9,"gasoil",1.884
2008,8,"gasoil",1.884
2008,7,"gasoil",1.812
2008,6,"gasoil",1.812
2008,5,"gasoil",1.802
2008,4,"gasoil",1.647
2008,3,"gasoil",1.599
2008,2,"gasoil",1.599
2008,1,"gasoil",1.599
2019,1,"euro",40.49
2018,12,"euro",40.86
2018,11,"euro",39.67
2018,10,"euro",38.51
2018,9,"euro",34.79
2018,8,"euro",31.19
2018,7,"euro",29.01
2018,6,"euro",26.86
2018,5,"euro",26.97
2018,4,"euro",26.97
2018,3,"euro",25.07
2018,2,"euro",25.07
2018,1,"euro",24.22
2017,12,"euro",23.18
2017,11,"euro",21.87
2017,10,"euro",21.87
2017,9,"euro",19.91
2017,8,"euro",19.91
2017,7,"euro",19.91
2017,6,"euro",19.91
2017,5,"euro",18.78
2017,4,"euro",18.78
2017,3,"euro",19.28
2017,2,"euro",19.28
2017,1,"euro",19.28
2016,12,"euro",17.8
2016,11,"euro",17.8
2016,10,"euro",17.8
2016,9,"euro",17.8
2016,8,"euro",17.8
2016,7,"euro",17.8
2016,6,"euro",17.8
2016,5,"euro",17.8
2016,4,"euro",16.19
2016,3,"euro",15.28
2016,2,"euro",14.36
2016,1,"euro",14.36
2015,12,"euro",13.54
2015,11,"euro",13.54
2015,10,"euro",12.95
2015,9,"euro",12.95
2015,8,"euro",12.95
2015,7,"euro",12.64
2015,6,"euro",12.46
2015,5,"euro",12.28
2015,4,"euro",12.09
2015,3,"euro",11.98
2015,2,"euro",11.87
2015,1,"euro",11.78
2014,12,"euro",12.4
2014,11,"euro",12.4
2014,10,"euro",12.4
2014,9,"euro",12.4
2014,8,"euro",11.98
2014,7,"euro",11.98
2014,6,"euro",11.54
2014,5,"euro",11.54
2014,4,"euro",11.12
2014,3,"euro",10.54
2014,2,"euro",9.94
2014,1,"euro",9.3
2013,12,"euro",8.57
2013,11,"euro",8.57
2013,10,"euro",7.48
2013,9,"euro",7.48
2013,8,"euro",7.48
2013,7,"euro",7.48
2013,6,"euro",7.479
2013,5,"euro",7.479
2013,4,"euro",7.479
2013,3,"euro",6.849
2013,2,"euro",6.849
2013,1,"euro",6.849
2012,12,"euro",6.734
2012,11,"euro",6.42
2012,10,"euro",6.42
2012,9,"euro",6.299
2012,8,"euro",6.299
2012,7,"euro",6.299
2012,6,"euro",6.299
2012,5,"euro",6.299
2012,4,"euro",6.299
2012,3,"euro",5.769
2012,2,"euro",5.769
2012,1,"euro",5.769
2011,12,"euro",5.439
2011,11,"euro",5.438
2011,10,"euro",5.438
2011,9,"euro",5.438
2011,8,"euro",5.438
2011,7,"euro",5.146
2011,6,"euro",4.859
2011,5,"euro",4.848
2011,4,"euro",4.579
2011,3,"euro",4.319
2011,2,"euro",4.319
2011,1,"euro",4.319
2010,12,"euro",4.319
2010,11,"euro",4.304
2010,10,"euro",4.079
2010,9,"euro",4.079
2010,8,"euro",4.079
2010,7,"euro",4.078
2010,6,"euro",4.079
2010,5,"euro",4.012
2010,4,"euro",4.012
2010,3,"euro",3.701
2010,2,"euro",3.529
2010,1,"euro",3.349
2009,12,"euro",3.299
2009,11,"euro",3.299
2009,10,"euro",3.249
2009,9,"euro",3.199
2009,8,"euro",3.199
2009,7,"euro",3.199
2009,6,"euro",3.249
2009,5,"euro",3.199
2009,4,"euro",3.199
2009,3,"euro",3.199
2009,2,"euro",3.199
2009,1,"euro",3.199
2008,12,"euro",3.199
2008,11,"euro",3.199
2008,10,"euro",3.199
2008,9,"euro",2.499
2008,8,"euro",2.499
2008,7,"euro",2.599
2008,6,"euro",2.399
2008,5,"euro",2.399
2008,4,"euro",2.298
2008,3,"euro",2.299
2008,2,"euro",2.299
2008,1,"euro",2.299
